date,region,ai_tool,visits,traffic_share_percent,avg_visit_duration,pages_per_visit,bounce_rate
2019-01-01,Portugal,ChatGPT,309687,5.15,108.4,3.26,38.01
2019-02-01,Portugal,ChatGPT,545932,5.27,127.0,2.8,30.97
2019-03-01,Portugal,ChatGPT,685546,5.34,119.8,3.4,52.76
2019-04-01,Portugal,ChatGPT,934934,5.47,127.3,3.98,41.37
2019-05-01,Portugal,ChatGPT,780560,5.39,116.0,3.31,36.69
2019-06-01,Portugal,ChatGPT,692123,5.35,116.7,2.46,39.42
2019-07-01,Portugal,ChatGPT,1069138,5.53,128.1,2.91,45.61
2019-08-01,Portugal,ChatGPT,528481,5.26,132.0,3.85,44.58
2019-09-01,Portugal,ChatGPT,739378,5.37,124.9,2.82,40.64
2019-10-01,Portugal,ChatGPT,636452,5.32,140.6,2.18,37.0
2019-11-01,Portugal,ChatGPT,524333,5.26,125.8,3.01,42.93
2019-12-01,Portugal,ChatGPT,871020,5.44,95.9,2.64,39.62
2020-01-01,Portugal,ChatGPT,1200886,5.6,102.6,2.84,37.17
2020-02-01,Portugal,ChatGPT,1223755,5.61,119.6,3.28,38.99
2020-03-01,Portugal,ChatGPT,1213624,5.61,139.7,3.15,36.24
2020-04-01,Portugal,ChatGPT,1536041,5.77,110.7,2.73,44.69
2020-05-01,Portugal,ChatGPT,1252432,5.63,107.7,2.64,30.38
2020-06-01,Portugal,ChatGPT,1373454,5.69,116.9,3.28,29.91
2020-07-01,Portugal,ChatGPT,1273052,5.64,97.6,2.58,39.64
2020-08-01,Portugal,ChatGPT,1399389,5.7,112.5,3.38,44.37
2020-09-01,Portugal,ChatGPT,1226874,5.61,117.4,2.29,37.77
2020-10-01,Portugal,ChatGPT,1123762,5.56,100.4,1.9,52.8
2020-11-01,Portugal,ChatGPT,1261195,5.63,147.7,3.43,42.96
2020-12-01,Portugal,ChatGPT,1616663,5.81,117.3,2.55,44.35
2021-01-01,Portugal,ChatGPT,1732882,5.87,123.7,3.27,50.28
2021-02-01,Portugal,ChatGPT,1775051,5.89,101.6,2.88,36.21
2021-03-01,Portugal,ChatGPT,1967181,5.98,121.9,2.31,38.73
2021-04-01,Portugal,ChatGPT,2112828,6.06,125.9,3.08,38.64
2021-05-01,Portugal,ChatGPT,2019578,6.01,115.9,3.9,34.28
2021-06-01,Portugal,ChatGPT,1828590,5.91,128.3,3.2,35.77
2021-07-01,Portugal,ChatGPT,1873048,5.94,129.9,2.97,36.72
2021-08-01,Portugal,ChatGPT,1961703,5.98,102.6,2.7,39.13
2021-09-01,Portugal,ChatGPT,1929187,5.96,111.7,3.09,37.38
2021-10-01,Portugal,ChatGPT,1806730,5.9,124.8,3.25,39.04
2021-11-01,Portugal,ChatGPT,2094866,6.05,112.2,2.91,46.32
2021-12-01,Portugal,ChatGPT,2065873,6.03,131.1,2.94,35.33
2022-01-01,Portugal,ChatGPT,2191257,6.1,122.2,3.08,39.19
2022-02-01,Portugal,ChatGPT,2395232,6.2,117.5,4.16,42.97
2022-03-01,Portugal,ChatGPT,2430364,6.22,120.3,3.31,36.67
2022-04-01,Portugal,ChatGPT,2424417,6.21,129.1,2.86,38.6
2022-05-01,Portugal,ChatGPT,2251325,6.13,125.4,2.08,32.05
2022-06-01,Portugal,ChatGPT,2387453,6.19,120.3,3.04,32.56
2022-07-01,Portugal,ChatGPT,2499382,6.25,102.5,3.24,47.75
2022-08-01,Portugal,ChatGPT,2357186,6.18,137.4,3.2,34.09
2022-09-01,Portugal,ChatGPT,2310166,6.16,142.6,3.14,43.69
2022-10-01,Portugal,ChatGPT,2245535,6.12,130.8,2.46,39.36
2022-11-01,Portugal,ChatGPT,2238603,6.12,124.6,3.26,41.05
2022-12-01,Portugal,ChatGPT,2416384,6.21,111.5,3.58,44.1
2023-01-01,Portugal,ChatGPT,2938982,6.47,104.7,2.98,37.46
2023-02-01,Portugal,ChatGPT,2761002,6.38,127.3,2.72,35.21
2023-03-01,Portugal,ChatGPT,2812226,6.41,107.2,3.05,40.27
2023-04-01,Portugal,ChatGPT,3289622,6.64,111.5,3.27,34.03
2023-05-01,Portugal,ChatGPT,3276514,6.64,119.9,2.52,41.07
2023-06-01,Portugal,ChatGPT,3335431,6.67,110.7,3.2,33.5
2023-07-01,Portugal,ChatGPT,2718772,6.36,106.0,2.98,36.39
