date,region,platform,category,value_percent
2019-01-01,Portugal,Chrome,browser,58.75
2019-02-01,Portugal,Chrome,browser,59.26
2019-03-01,Portugal,Chrome,browser,58.93
2019-04-01,Portugal,Chrome,browser,58.16
2019-05-01,Portugal,Chrome,browser,55.09
2019-06-01,Portugal,Chrome,browser,58.81
2019-07-01,Portugal,Chrome,browser,54.89
2019-08-01,Portugal,Chrome,browser,53.36
2019-09-01,Portugal,Chrome,browser,49.15
2019-10-01,Portugal,Chrome,browser,49.56
2019-11-01,Portugal,Chrome,browser,52.57
2019-12-01,Portugal,Chrome,browser,51.47
2020-01-01,Portugal,Chrome,browser,53.58
2020-02-01,Portugal,Chrome,browser,55.03
2020-03-01,Portugal,Chrome,browser,58.84
2020-04-01,Portugal,Chrome,browser,61.47
2020-05-01,Portugal,Chrome,browser,58.8
2020-06-01,Portugal,Chrome,browser,58.36
2020-07-01,Portugal,Chrome,browser,53.65
2020-08-01,Portugal,Chrome,browser,52.66
2020-09-01,Portugal,Chrome,browser,49.62
2020-10-01,Portugal,Chrome,browser,53.0
2020-11-01,Portugal,Chrome,browser,51.09
2020-12-01,Portugal,Chrome,browser,53.64
2021-01-01,Portugal,Chrome,browser,52.18
2021-02-01,Portugal,Chrome,browser,57.49
2021-03-01,Portugal,Chrome,browser,55.52
2021-04-01,Portugal,Chrome,browser,61.19
2021-05-01,Portugal,Chrome,browser,58.43
2021-06-01,Portugal,Chrome,browser,57.42
2021-07-01,Portugal,Chrome,browser,53.0
2021-08-01,Portugal,Chrome,browser,51.16
2021-09-01,Portugal,Chrome,browser,51.0
2021-10-01,Portugal,Chrome,browser,48.59
2021-11-01,Portugal,Chrome,browser,51.04
2021-12-01,Portugal,Chrome,browser,50.41
2022-01-01,Portugal,Chrome,browser,52.27
2022-02-01,Portugal,Chrome,browser,55.73
2022-03-01,Portugal,Chrome,browser,56.19
2022-04-01,Portugal,Chrome,browser,57.04
2022-05-01,Portugal,Chrome,browser,58.38
2022-06-01,Portugal,Chrome,browser,55.14
2022-07-01,Portugal,Chrome,browser,55.81
2022-08-01,Portugal,Chrome,browser,50.05
2022-09-01,Portugal,Chrome,browser,49.24
2022-10-01,Portugal,Chrome,browser,47.04
2022-11-01,Portugal,Chrome,browser,52.88
2022-12-01,Portugal,Chrome,browser,49.79
2023-01-01,Portugal,Chrome,browser,53.16
2023-02-01,Portugal,Chrome,browser,55.83
2023-03-01,Portugal,Chrome,browser,58.18
2023-04-01,Portugal,Chrome,browser,57.32
2023-05-01,Portugal,Chrome,browser,57.28
2023-06-01,Portugal,Chrome,browser,55.74
2023-07-01,Portugal,Chrome,browser,56.43
2023-08-01,Portugal,Chrome,browser,51.3
2023-09-01,Portugal,Chrome,browser,52.43
2023-10-01,Portugal,Chrome,browser,48.85
2023-11-01,Portugal,Chrome,browser,48.02
2023-12-01,Portugal,Chrome,browser,48.42
2024-01-01,Portugal,Chrome,browser,51.57
2024-02-01,Portugal,Chrome,browser,51.83
2024-03-01,Portugal,Chrome,browser,53.08
2024-04-01,Portugal,Chrome,browser,55.77
2024-05-01,Portugal,Chrome,browser,56.43
2024-06-01,Portugal,Chrome,browser,53.76
2024-07-01,Portugal,Chrome,browser,50.78
2024-08-01,Portugal,Chrome,browser,49.0
2024-09-01,Portugal,Chrome,browser,52.52
2024-10-01,Portugal,Chrome,browser,49.28
2024-11-01,Portugal,Chrome,browser,51.6
2024-12-01,Portugal,Chrome,browser,49.83
2025-01-01,Portugal,Chrome,browser,52.1
2025-02-01,Portugal,Chrome,browser,56.54
2025-03-01,Portugal,Chrome,browser,57.65
2025-04-01,Portugal,Chrome,browser,55.4
2025-05-01,Portugal,Chrome,browser,56.97
2025-06-01,Portugal,Chrome,browser,54.95
2025-07-01,Portugal,Chrome,browser,52.91
2025-08-01,Portugal,Chrome,browser,49.85
2025-09-01,Portugal,Chrome,browser,49.6
2025-10-01,Portugal,Chrome,browser,46.79
2025-11-01,Portugal,Chrome,browser,49.53
2025-12-01,Portugal,Chrome,browser,51.42
2026-01-01,Portugal,Chrome,browser,50.84
2026-02-01,Portugal,Chrome,browser,53.68
2026-03-01,Portugal,Chrome,browser,55.21
2026-04-01,Portugal,Chrome,browser,55.57
2026-05-01,Portugal,Chrome,browser,55.79
2026-06-01,Portugal,Chrome,browser,53.8
2019-01-01,Portugal,Safari,browser,18.7
2019-02-01,Portugal,Safari,browser,21.3
2019-03-01,Portugal,Safari,browser,19.68
2019-04-01,Portugal,Safari,browser,21.91
2019-05-01,Portugal,Safari,browser,18.29
2019-06-01,Portugal,Safari,browser,20.88
2019-07-01,Portugal,Safari,browser,20.43
2019-08-01,Portugal,Safari,browser,20.66
2019-09-01,Portugal,Safari,browser,16.33
2019-10-01,Portugal,Safari,browser,18.3
2019-11-01,Portugal,Safari,browser,18.95
2019-12-01,Portugal,Safari,browser,19.99
2020-01-01,Portugal,Safari,browser,18.39
2020-02-01,Portugal,Safari,browser,19.93
2020-03-01,Portugal,Safari,browser,21.47
2020-04-01,Portugal,Safari,browser,21.98
2020-05-01,Portugal,Safari,browser,21.44
2020-06-01,Portugal,Safari,browser,20.98
2020-07-01,Portugal,Safari,browser,19.81
2020-08-01,Portugal,Safari,browser,21.35
2020-09-01,Portugal,Safari,browser,19.44
2020-10-01,Portugal,Safari,browser,17.84
2020-11-01,Portugal,Safari,browser,20.73
2020-12-01,Portugal,Safari,browser,20.22
2021-01-01,Portugal,Safari,browser,17.92
2021-02-01,Portugal,Safari,browser,22.57
2021-03-01,Portugal,Safari,browser,22.65
2021-04-01,Portugal,Safari,browser,20.0
2021-05-01,Portugal,Safari,browser,22.84
2021-06-01,Portugal,Safari,browser,20.26
2021-07-01,Portugal,Safari,browser,22.22
2021-08-01,Portugal,Safari,browser,21.99
2021-09-01,Portugal,Safari,browser,20.1
2021-10-01,Portugal,Safari,browser,18.39
2021-11-01,Portugal,Safari,browser,19.59
2021-12-01,Portugal,Safari,browser,19.62
2022-01-01,Portugal,Safari,browser,18.63
2022-02-01,Portugal,Safari,browser,21.7
2022-03-01,Portugal,Safari,browser,19.76
2022-04-01,Portugal,Safari,browser,20.38
2022-05-01,Portugal,Safari,browser,19.34
2022-06-01,Portugal,Safari,browser,21.03
2022-07-01,Portugal,Safari,browser,19.72
2022-08-01,Portugal,Safari,browser,18.11
2022-09-01,Portugal,Safari,browser,17.65
2022-10-01,Portugal,Safari,browser,20.4
2022-11-01,Portugal,Safari,browser,17.16
2022-12-01,Portugal,Safari,browser,18.59
2023-01-01,Portugal,Safari,browser,21.88
2023-02-01,Portugal,Safari,browser,17.34
2023-03-01,Portugal,Safari,browser,23.8
2023-04-01,Portugal,Safari,browser,18.28
2023-05-01,Portugal,Safari,browser,20.03
2023-06-01,Portugal,Safari,browser,22.5
2023-07-01,Portugal,Safari,browser,20.19
2023-08-01,Portugal,Safari,browser,17.25
2023-09-01,Portugal,Safari,browser,19.42
2023-10-01,Portugal,Safari,browser,16.96
2023-11-01,Portugal,Safari,browser,16.17
2023-12-01,Portugal,Safari,browser,19.16
2024-01-01,Portugal,Safari,browser,20.27
2024-02-01,Portugal,Safari,browser,20.29
2024-03-01,Portugal,Safari,browser,20.92
2024-04-01,Portugal,Safari,browser,21.53
2024-05-01,Portugal,Safari,browser,21.34
2024-06-01,Portugal,Safari,browser,20.0
2024-07-01,Portugal,Safari,browser,20.9
2024-08-01,Portugal,Safari,browser,19.57
2024-09-01,Portugal,Safari,browser,19.67
2024-10-01,Portugal,Safari,browser,19.37
2024-11-01,Portugal,Safari,browser,19.14
2024-12-01,Portugal,Safari,browser,19.28
2025-01-01,Portugal,Safari,browser,20.17
2025-02-01,Portugal,Safari,browser,20.76
2025-03-01,Portugal,Safari,browser,20.46
2025-04-01,Portugal,Safari,browser,20.01
2025-05-01,Portugal,Safari,browser,20.61
2025-06-01,Portugal,Safari,browser,18.24
2025-07-01,Portugal,Safari,browser,18.99
2025-08-01,Portugal,Safari,browser,19.59
2025-09-01,Portugal,Safari,browser,17.27
2025-10-01,Portugal,Safari,browser,17.87
2025-11-01,Portugal,Safari,browser,16.5
2025-12-01,Portugal,Safari,browser,17.87
2026-01-01,Portugal,Safari,browser,19.07
2026-02-01,Portugal,Safari,browser,21.1
2026-03-01,Portugal,Safari,browser,20.43
2026-04-01,Portugal,Safari,browser,23.34
2026-05-01,Portugal,Safari,browser,21.71
2026-06-01,Portugal,Safari,browser,18.73
2019-01-01,Portugal,Edge,browser,7.85
2019-02-01,Portugal,Edge,browser,6.23
2019-03-01,Portugal,Edge,browser,7.32
2019-04-01,Portugal,Edge,browser,6.33
2019-05-01,Portugal,Edge,browser,9.91
2019-06-01,Portugal,Edge,browser,9.01
2019-07-01,Portugal,Edge,browser,7.53
2019-08-01,Portugal,Edge,browser,9.54
2019-09-01,Portugal,Edge,browser,7.22
2019-10-01,Portugal,Edge,browser,6.38
2019-11-01,Portugal,Edge,browser,8.39
2019-12-01,Portugal,Edge,browser,7.91
2020-01-01,Portugal,Edge,browser,9.59
2020-02-01,Portugal,Edge,browser,8.34
2020-03-01,Portugal,Edge,browser,10.49
2020-04-01,Portugal,Edge,browser,8.15
2020-05-01,Portugal,Edge,browser,8.75
2020-06-01,Portugal,Edge,browser,8.67
2020-07-01,Portugal,Edge,browser,9.33
2020-08-01,Portugal,Edge,browser,7.15
2020-09-01,Portugal,Edge,browser,6.4
2020-10-01,Portugal,Edge,browser,8.69
2020-11-01,Portugal,Edge,browser,8.36
2020-12-01,Portugal,Edge,browser,10.1
2021-01-01,Portugal,Edge,browser,8.02
2021-02-01,Portugal,Edge,browser,9.86
2021-03-01,Portugal,Edge,browser,7.42
2021-04-01,Portugal,Edge,browser,6.55
2021-05-01,Portugal,Edge,browser,8.45
2021-06-01,Portugal,Edge,browser,8.1
2021-07-01,Portugal,Edge,browser,7.08
2021-08-01,Portugal,Edge,browser,8.75
2021-09-01,Portugal,Edge,browser,8.36
2021-10-01,Portugal,Edge,browser,9.96
2021-11-01,Portugal,Edge,browser,7.16
2021-12-01,Portugal,Edge,browser,7.42
2022-01-01,Portugal,Edge,browser,12.67
2022-02-01,Portugal,Edge,browser,8.11
2022-03-01,Portugal,Edge,browser,8.96
2022-04-01,Portugal,Edge,browser,7.25
2022-05-01,Portugal,Edge,browser,12.74
2022-06-01,Portugal,Edge,browser,6.65
2022-07-01,Portugal,Edge,browser,10.58
2022-08-01,Portugal,Edge,browser,9.56
2022-09-01,Portugal,Edge,browser,7.07
2022-10-01,Portugal,Edge,browser,6.52
2022-11-01,Portugal,Edge,browser,7.3
2022-12-01,Portugal,Edge,browser,11.51
2023-01-01,Portugal,Edge,browser,10.37
2023-02-01,Portugal,Edge,browser,9.85
2023-03-01,Portugal,Edge,browser,9.65
2023-04-01,Portugal,Edge,browser,9.83
2023-05-01,Portugal,Edge,browser,11.31
2023-06-01,Portugal,Edge,browser,8.5
2023-07-01,Portugal,Edge,browser,8.69
2023-08-01,Portugal,Edge,browser,9.8
2023-09-01,Portugal,Edge,browser,5.6
2023-10-01,Portugal,Edge,browser,7.93
2023-11-01,Portugal,Edge,browser,10.35
2023-12-01,Portugal,Edge,browser,10.72
2024-01-01,Portugal,Edge,browser,10.76
2024-02-01,Portugal,Edge,browser,9.43
2024-03-01,Portugal,Edge,browser,9.55
2024-04-01,Portugal,Edge,browser,8.74
2024-05-01,Portugal,Edge,browser,9.87
2024-06-01,Portugal,Edge,browser,9.55
2024-07-01,Portugal,Edge,browser,9.11
2024-08-01,Portugal,Edge,browser,9.15
2024-09-01,Portugal,Edge,browser,8.81
2024-10-01,Portugal,Edge,browser,11.35
2024-11-01,Portugal,Edge,browser,11.06
2024-12-01,Portugal,Edge,browser,10.39
2025-01-01,Portugal,Edge,browser,12.18
2025-02-01,Portugal,Edge,browser,11.63
2025-03-01,Portugal,Edge,browser,10.31
2025-04-01,Portugal,Edge,browser,11.73
2025-05-01,Portugal,Edge,browser,10.88
2025-06-01,Portugal,Edge,browser,10.06
2025-07-01,Portugal,Edge,browser,6.82
2025-08-01,Portugal,Edge,browser,11.46
2025-09-01,Portugal,Edge,browser,7.19
2025-10-01,Portugal,Edge,browser,2.88
2025-11-01,Portugal,Edge,browser,8.76
2025-12-01,Portugal,Edge,browser,9.13
2026-01-01,Portugal,Edge,browser,8.66
2026-02-01,Portugal,Edge,browser,10.05
2026-03-01,Portugal,Edge,browser,9.8
2026-04-01,Portugal,Edge,browser,9.72
2026-05-01,Portugal,Edge,browser,8.71
2026-06-01,Portugal,Edge,browser,8.23
2019-01-01,Portugal,Firefox,browser,9.03
2019-02-01,Portugal,Firefox,browser,8.37
2019-03-01,Portugal,Firefox,browser,9.69
2019-04-01,Portugal,Firefox,browser,4.69
2019-05-01,Portugal,Firefox,browser,5.61
2019-06-01,Portugal,Firefox,browser,5.78
2019-07-01,Portugal,Firefox,browser,7.81
2019-08-01,Portugal,Firefox,browser,7.08
2019-09-01,Portugal,Firefox,browser,5.85
2019-10-01,Portugal,Firefox,browser,7.75
2019-11-01,Portugal,Firefox,browser,4.93
2019-12-01,Portugal,Firefox,browser,4.85
2020-01-01,Portugal,Firefox,browser,2.75
2020-02-01,Portugal,Firefox,browser,7.37
2020-03-01,Portugal,Firefox,browser,6.81
2020-04-01,Portugal,Firefox,browser,5.39
2020-05-01,Portugal,Firefox,browser,7.18
2020-06-01,Portugal,Firefox,browser,7.65
2020-07-01,Portugal,Firefox,browser,5.4
2020-08-01,Portugal,Firefox,browser,6.69
2020-09-01,Portugal,Firefox,browser,3.46
2020-10-01,Portugal,Firefox,browser,2.07
2020-11-01,Portugal,Firefox,browser,3.11
2020-12-01,Portugal,Firefox,browser,5.54
2021-01-01,Portugal,Firefox,browser,4.76
2021-02-01,Portugal,Firefox,browser,4.67
2021-03-01,Portugal,Firefox,browser,2.22
2021-04-01,Portugal,Firefox,browser,2.28
2021-05-01,Portugal,Firefox,browser,5.7
2021-06-01,Portugal,Firefox,browser,3.79
2021-07-01,Portugal,Firefox,browser,3.7
2021-08-01,Portugal,Firefox,browser,4.12
2021-09-01,Portugal,Firefox,browser,6.46
2021-10-01,Portugal,Firefox,browser,5.57
2021-11-01,Portugal,Firefox,browser,3.66
2021-12-01,Portugal,Firefox,browser,4.38
2022-01-01,Portugal,Firefox,browser,5.74
2022-02-01,Portugal,Firefox,browser,2.46
2022-03-01,Portugal,Firefox,browser,6.28
2022-04-01,Portugal,Firefox,browser,4.68
2022-05-01,Portugal,Firefox,browser,6.33
2022-06-01,Portugal,Firefox,browser,7.95
2022-07-01,Portugal,Firefox,browser,2.49
2022-08-01,Portugal,Firefox,browser,3.03
2022-09-01,Portugal,Firefox,browser,4.53
2022-10-01,Portugal,Firefox,browser,4.51
2022-11-01,Portugal,Firefox,browser,5.85
2022-12-01,Portugal,Firefox,browser,4.56
2023-01-01,Portugal,Firefox,browser,5.12
2023-02-01,Portugal,Firefox,browser,5.81
2023-03-01,Portugal,Firefox,browser,5.06
2023-04-01,Portugal,Firefox,browser,5.95
2023-05-01,Portugal,Firefox,browser,6.16
2023-06-01,Portugal,Firefox,browser,4.83
2023-07-01,Portugal,Firefox,browser,4.71
2023-08-01,Portugal,Firefox,browser,5.81
2023-09-01,Portugal,Firefox,browser,1.81
2023-10-01,Portugal,Firefox,browser,3.28
2023-11-01,Portugal,Firefox,browser,4.51
2023-12-01,Portugal,Firefox,browser,5.64
2024-01-01,Portugal,Firefox,browser,2.53
2024-02-01,Portugal,Firefox,browser,5.59
2024-03-01,Portugal,Firefox,browser,6.72
2024-04-01,Portugal,Firefox,browser,8.2
2024-05-01,Portugal,Firefox,browser,4.78
2024-06-01,Portugal,Firefox,browser,1.63
2024-07-01,Portugal,Firefox,browser,2.29
2024-08-01,Portugal,Firefox,browser,3.76
2024-09-01,Portugal,Firefox,browser,4.58
2024-10-01,Portugal,Firefox,browser,4.83
2024-11-01,Portugal,Firefox,browser,3.62
2024-12-01,Portugal,Firefox,browser,1.8
2025-01-01,Portugal,Firefox,browser,2.95
2025-02-01,Portugal,Firefox,browser,5.1
2025-03-01,Portugal,Firefox,browser,1.1
2025-04-01,Portugal,Firefox,browser,5.99
2025-05-01,Portugal,Firefox,browser,3.95
2025-06-01,Portugal,Firefox,browser,5.24
2025-07-01,Portugal,Firefox,browser,4.75
2025-08-01,Portugal,Firefox,browser,3.07
2025-09-01,Portugal,Firefox,browser,6.66
2025-10-01,Portugal,Firefox,browser,2.22
2025-11-01,Portugal,Firefox,browser,3.55
2025-12-01,Portugal,Firefox,browser,7.35
2026-01-01,Portugal,Firefox,browser,5.92
2026-02-01,Portugal,Firefox,browser,6.29
2026-03-01,Portugal,Firefox,browser,2.9
2026-04-01,Portugal,Firefox,browser,4.15
2026-05-01,Portugal,Firefox,browser,6.76
2026-06-01,Portugal,Firefox,browser,3.58
2019-01-01,Portugal,Samsung Internet,browser,8.44
2019-02-01,Portugal,Samsung Internet,browser,8.81
2019-03-01,Portugal,Samsung Internet,browser,7.19
2019-04-01,Portugal,Samsung Internet,browser,4.97
2019-05-01,Portugal,Samsung Internet,browser,9.71
2019-06-01,Portugal,Samsung Internet,browser,4.94
2019-07-01,Portugal,Samsung Internet,browser,4.68
2019-08-01,Portugal,Samsung Internet,browser,10.81
2019-09-01,Portugal,Samsung Internet,browser,7.71
2019-10-01,Portugal,Samsung Internet,browser,6.2
2019-11-01,Portugal,Samsung Internet,browser,6.66
2019-12-01,Portugal,Samsung Internet,browser,6.69
2020-01-01,Portugal,Samsung Internet,browser,5.6
2020-02-01,Portugal,Samsung Internet,browser,6.25
2020-03-01,Portugal,Samsung Internet,browser,7.89
2020-04-01,Portugal,Samsung Internet,browser,10.54
2020-05-01,Portugal,Samsung Internet,browser,7.89
2020-06-01,Portugal,Samsung Internet,browser,8.77
2020-07-01,Portugal,Samsung Internet,browser,7.09
2020-08-01,Portugal,Samsung Internet,browser,8.33
2020-09-01,Portugal,Samsung Internet,browser,8.09
2020-10-01,Portugal,Samsung Internet,browser,6.11
2020-11-01,Portugal,Samsung Internet,browser,6.5
2020-12-01,Portugal,Samsung Internet,browser,5.21
2021-01-01,Portugal,Samsung Internet,browser,4.64
2021-02-01,Portugal,Samsung Internet,browser,9.09
2021-03-01,Portugal,Samsung Internet,browser,5.8
2021-04-01,Portugal,Samsung Internet,browser,6.03
2021-05-01,Portugal,Samsung Internet,browser,9.32
2021-06-01,Portugal,Samsung Internet,browser,7.14
2021-07-01,Portugal,Samsung Internet,browser,8.54
2021-08-01,Portugal,Samsung Internet,browser,6.94
2021-09-01,Portugal,Samsung Internet,browser,5.04
2021-10-01,Portugal,Samsung Internet,browser,6.88
2021-11-01,Portugal,Samsung Internet,browser,5.33
2021-12-01,Portugal,Samsung Internet,browser,8.36
2022-01-01,Portugal,Samsung Internet,browser,7.36
2022-02-01,Portugal,Samsung Internet,browser,7.13
2022-03-01,Portugal,Samsung Internet,browser,7.11
2022-04-01,Portugal,Samsung Internet,browser,8.93
2022-05-01,Portugal,Samsung Internet,browser,7.06
2022-06-01,Portugal,Samsung Internet,browser,8.14
2022-07-01,Portugal,Samsung Internet,browser,7.94
2022-08-01,Portugal,Samsung Internet,browser,8.5
2022-09-01,Portugal,Samsung Internet,browser,7.73
2022-10-01,Portugal,Samsung Internet,browser,6.67
2022-11-01,Portugal,Samsung Internet,browser,8.69
2022-12-01,Portugal,Samsung Internet,browser,7.64
2023-01-01,Portugal,Samsung Internet,browser,10.56
2023-02-01,Portugal,Samsung Internet,browser,9.63
2023-03-01,Portugal,Samsung Internet,browser,9.36
2023-04-01,Portugal,Samsung Internet,browser,6.91
2023-05-01,Portugal,Samsung Internet,browser,7.82
2023-06-01,Portugal,Samsung Internet,browser,6.65
2023-07-01,Portugal,Samsung Internet,browser,7.92
2023-08-01,Portugal,Samsung Internet,browser,8.35
2023-09-01,Portugal,Samsung Internet,browser,5.77
2023-10-01,Portugal,Samsung Internet,browser,6.14
2023-11-01,Portugal,Samsung Internet,browser,6.39
2023-12-01,Portugal,Samsung Internet,browser,7.4
2024-01-01,Portugal,Samsung Internet,browser,3.82
2024-02-01,Portugal,Samsung Internet,browser,6.19
2024-03-01,Portugal,Samsung Internet,browser,7.43
2024-04-01,Portugal,Samsung Internet,browser,6.61
2024-05-01,Portugal,Samsung Internet,browser,8.28
2024-06-01,Portugal,Samsung Internet,browser,9.34
2024-07-01,Portugal,Samsung Internet,browser,6.76
2024-08-01,Portugal,Samsung Internet,browser,6.6
2024-09-01,Portugal,Samsung Internet,browser,8.53
2024-10-01,Portugal,Samsung Internet,browser,5.3
2024-11-01,Portugal,Samsung Internet,browser,5.27
2024-12-01,Portugal,Samsung Internet,browser,8.11
2025-01-01,Portugal,Samsung Internet,browser,6.03
2025-02-01,Portugal,Samsung Internet,browser,9.84
2025-03-01,Portugal,Samsung Internet,browser,8.32
2025-04-01,Portugal,Samsung Internet,browser,7.24
2025-05-01,Portugal,Samsung Internet,browser,7.4
2025-06-01,Portugal,Samsung Internet,browser,10.07
2025-07-01,Portugal,Samsung Internet,browser,10.66
2025-08-01,Portugal,Samsung Internet,browser,6.63
2025-09-01,Portugal,Samsung Internet,browser,6.27
2025-10-01,Portugal,Samsung Internet,browser,8.08
2025-11-01,Portugal,Samsung Internet,browser,6.72
2025-12-01,Portugal,Samsung Internet,browser,9.09
2026-01-01,Portugal,Samsung Internet,browser,6.6
2026-02-01,Portugal,Samsung Internet,browser,5.49
2026-03-01,Portugal,Samsung Internet,browser,7.71
2026-04-01,Portugal,Samsung Internet,browser,10.52
2026-05-01,Portugal,Samsung Internet,browser,7.7
2026-06-01,Portugal,Samsung Internet,browser,8.24
2019-01-01,Portugal,Opera,browser,4.38
2019-02-01,Portugal,Opera,browser,2.33
2019-03-01,Portugal,Opera,browser,5.65
2019-04-01,Portugal,Opera,browser,4.42
2019-05-01,Portugal,Opera,browser,3.46
2019-06-01,Portugal,Opera,browser,4.78
2019-07-01,Portugal,Opera,browser,4.28
2019-08-01,Portugal,Opera,browser,6.27
2019-09-01,Portugal,Opera,browser,4.18
2019-10-01,Portugal,Opera,browser,4.95
2019-11-01,Portugal,Opera,browser,4.64
2019-12-01,Portugal,Opera,browser,4.06
2020-01-01,Portugal,Opera,browser,1.74
2020-02-01,Portugal,Opera,browser,4.56
