date,region,platform,category,value_percent
2019-01-01,Portugal,Google,search_engine,68.56
2019-02-01,Portugal,Google,search_engine,72.33
2019-03-01,Portugal,Google,search_engine,73.55
2019-04-01,Portugal,Google,search_engine,75.13
2019-05-01,Portugal,Google,search_engine,76.06
2019-06-01,Portugal,Google,search_engine,72.44
2019-07-01,Portugal,Google,search_engine,68.94
2019-08-01,Portugal,Google,search_engine,66.27
2019-09-01,Portugal,Google,search_engine,63.34
2019-10-01,Portugal,Google,search_engine,65.5
2019-11-01,Portugal,Google,search_engine,65.81
2019-12-01,Portugal,Google,search_engine,68.21
2020-01-01,Portugal,Google,search_engine,68.88
2020-02-01,Portugal,Google,search_engine,72.86
2020-03-01,Portugal,Google,search_engine,72.72
2020-04-01,Portugal,Google,search_engine,72.81
2020-05-01,Portugal,Google,search_engine,71.52
2020-06-01,Portugal,Google,search_engine,70.39
2020-07-01,Portugal,Google,search_engine,69.09
2020-08-01,Portugal,Google,search_engine,65.42
2020-09-01,Portugal,Google,search_engine,65.97
2020-10-01,Portugal,Google,search_engine,64.51
2020-11-01,Portugal,Google,search_engine,63.36
2020-12-01,Portugal,Google,search_engine,64.78
2021-01-01,Portugal,Google,search_engine,68.34
2021-02-01,Portugal,Google,search_engine,71.75
2021-03-01,Portugal,Google,search_engine,73.13
2021-04-01,Portugal,Google,search_engine,71.97
2021-05-01,Portugal,Google,search_engine,72.62
2021-06-01,Portugal,Google,search_engine,70.15
2021-07-01,Portugal,Google,search_engine,67.7
2021-08-01,Portugal,Google,search_engine,62.37
2021-09-01,Portugal,Google,search_engine,63.88
2021-10-01,Portugal,Google,search_engine,62.23
2021-11-01,Portugal,Google,search_engine,66.14
2021-12-01,Portugal,Google,search_engine,63.39
2022-01-01,Portugal,Google,search_engine,66.48
2022-02-01,Portugal,Google,search_engine,69.84
2022-03-01,Portugal,Google,search_engine,73.89
2022-04-01,Portugal,Google,search_engine,71.86
2022-05-01,Portugal,Google,search_engine,72.89
2022-06-01,Portugal,Google,search_engine,67.76
2022-07-01,Portugal,Google,search_engine,66.33
2022-08-01,Portugal,Google,search_engine,64.31
2022-09-01,Portugal,Google,search_engine,62.08
2022-10-01,Portugal,Google,search_engine,62.09
2022-11-01,Portugal,Google,search_engine,62.23
2022-12-01,Portugal,Google,search_engine,65.95
2023-01-01,Portugal,Google,search_engine,66.69
2023-02-01,Portugal,Google,search_engine,71.89
2023-03-01,Portugal,Google,search_engine,71.29
2023-04-01,Portugal,Google,search_engine,73.74
2023-05-01,Portugal,Google,search_engine,73.84
2023-06-01,Portugal,Google,search_engine,69.23
2023-07-01,Portugal,Google,search_engine,69.16
2023-08-01,Portugal,Google,search_engine,64.94
2023-09-01,Portugal,Google,search_engine,65.09
2023-10-01,Portugal,Google,search_engine,63.48
2023-11-01,Portugal,Google,search_engine,65.31
2023-12-01,Portugal,Google,search_engine,62.79
2024-01-01,Portugal,Google,search_engine,67.84
2024-02-01,Portugal,Google,search_engine,71.8
2024-03-01,Portugal,Google,search_engine,69.61
2024-04-01,Portugal,Google,search_engine,71.24
2024-05-01,Portugal,Google,search_engine,71.61
2024-06-01,Portugal,Google,search_engine,69.52
2024-07-01,Portugal,Google,search_engine,66.49
2024-08-01,Portugal,Google,search_engine,61.49
2024-09-01,Portugal,Google,search_engine,64.12
2024-10-01,Portugal,Google,search_engine,61.6
2024-11-01,Portugal,Google,search_engine,62.52
2024-12-01,Portugal,Google,search_engine,64.0
2025-01-01,Portugal,Google,search_engine,64.96
2025-02-01,Portugal,Google,search_engine,70.5
2025-03-01,Portugal,Google,search_engine,70.76
2025-04-01,Portugal,Google,search_engine,67.96
2025-05-01,Portugal,Google,search_engine,69.46
2025-06-01,Portugal,Google,search_engine,69.29
2025-07-01,Portugal,Google,search_engine,66.54
2025-08-01,Portugal,Google,search_engine,65.15
2025-09-01,Portugal,Google,search_engine,63.2
2025-10-01,Portugal,Google,search_engine,61.29
2025-11-01,Portugal,Google,search_engine,63.63
2025-12-01,Portugal,Google,search_engine,61.37
